Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ECH,EWW,EWZ,GXG,ECH,EWW,EWZ,GXG,ECH,EWW,EWZ,GXG,ECH,EWW,EWZ,GXG,ECH,EWW,EWZ,GXG
Date,,,,,,,,,,,,,,,,,,,,
2015-01-02,28.293725967407227,43.66582107543945,20.56661033630371,31.444198608398438,28.638333314910362,44.77481628151197,20.938856315805143,31.789740106025818,28.200393954949373,43.42440695725473,20.380487346552993,31.24674699655676,28.588078247901304,44.59375713181508,20.927223351600592,31.4935626882633,257000,3328600,17765400,40341
2015-01-05,27.78400230407715,42.37575149536133,19.86283302307129,29.39563751220703,28.236300773922324,43.39421977689964,20.014057123104763,31.024614550091204,27.769643318195147,42.03626494606455,19.804668200934493,29.247549974477,28.107072639680844,43.39421977689964,19.9035472891865,30.901209053252504,355800,4571100,22200400,93676
2015-01-06,27.705036163330078,42.77560806274414,20.217626571655273,29.074777603149414,28.006566725992744,43.01702219575673,20.351404540736183,29.395637068466254,27.661959194936607,42.224881891941436,19.897727845345585,28.778600178351315,27.81990534034879,42.594546024042955,20.136198047004907,29.395637068466254,262300,3022000,21194000,41470
2015-01-07,27.841434478759766,43.79407501220703,20.76436424255371,29.494361877441406,28.020917687599006,43.9826799888986,20.997016847418237,29.79053929220479,27.819897370081915,43.1980825951696,20.659669793798383,29.099458657756887,27.90604854348975,43.42441086950633,20.793445540816673,29.24754854204301,373700,2679700,16427500,40975
2015-01-08,28.02809715270996,44.46550750732422,21.095897674560547,29.86458969116211,28.142966291094172,44.85026326480113,21.27038769737831,30.160767148370844,27.94194324489959,44.118475046846484,20.822528566930735,29.768330664128985,28.07117136791886,44.186372952408085,20.90395709632829,30.01267724286188,139900,3341100,14081000,19302
2015-01-09,27.884506225585938,44.66920471191406,21.03773307800293,29.889266967773438,28.063989400895142,44.86535551124518,21.148245128011975,30.111400631200635,27.855788260249444,44.35234971314128,20.85742768063835,29.568407493246266,27.96347926091333,44.75973717832092,21.002836404325162,30.111400631200635,78000,2732400,9498500,11668
2015-01-12,27.862972259521484,44.02793884277344,20.5433406829834,29.543724060058594,27.884509366601918,44.66919450493353,20.589872531364467,29.790537379611234,27.74092226244118,43.8770543111231,20.380483651170962,29.290244754248736,27.812717183869662,44.56357619614322,20.554973645078665,29.790537379611234,281200,2148200,12921000,24493
2015-01-13,27.64041519165039,43.831787109375,20.77018165588379,29.19818687438965,27.956304665052787,44.669193507343785,21.03191780349413,29.691815939768063,27.575801124511656,43.53756386206337,20.56661032927633,29.14882514475633,27.906049583800055,44.435325222497625,20.816713512686096,29.593090126692378,712500,2670500,17157800,45201
