L,H,seed,importance_returns,importance_mask,importance_amihud,max_z_score,reject_threshold_2p5
21,1,0,-2.49216571498595e-05,1.3266964599759068e-06,4.230223021585433e-05,1.303323574502101,False
21,1,1,-3.921643744149439e-05,-9.011158325945845e-06,-8.305740230750425e-05,1.1427469620298139,False
21,1,2,-4.1293182820825725e-05,1.1482695811242116e-06,0.0006258512776835187,1.411883189651493,False
21,5,0,-1.190065167822052e-05,-1.9340851944840698e-05,0.00022433018445117137,1.413579030426958,False
21,5,1,-1.4014334619866231e-06,5.243218180329967e-05,0.00010584818642855875,1.2228728424417732,False
21,5,2,1.1624368550927633e-05,-5.7144042025225605e-06,0.0012626039598030159,1.4140892797185276,False
