L,H,window_id,CRPS,Calibration_80pct,Calibration_90pct
10,1,0,0.000975243299863881,0.017592592592592594,0.024074074074074074
10,1,1,0.00028341546666075065,0.06018518518518518,0.07592592592592592
10,1,2,0.00030970400503926946,0.03333333333333333,0.041666666666666664
10,1,3,0.00038408406887097254,0.020370370370370372,0.025
10,1,4,0.0002329068124689438,0.027777777777777776,0.037037037037037035
10,5,0,0.005074252062204676,0.022222222222222223,0.028703703703703703
10,5,1,0.001517050490097951,0.09444444444444444,0.10925925925925926
10,5,2,0.0017417008665985374,0.02962962962962963,0.03981481481481482
10,5,3,0.002408533331388735,0.026851851851851852,0.03148148148148148
10,5,4,0.0012521126601283867,0.06296296296296296,0.07500000000000001
21,1,0,0.0009861455742597048,0.01486988847583643,0.018587360594795536
21,1,1,0.0002785487954725757,0.027881040892193308,0.03438661710037175
21,1,2,0.0003171936670737283,0.02695167286245353,0.03903345724907063
21,1,3,0.00037856674700457896,0.03066914498141264,0.03717472118959108
21,1,4,0.00023877024815246854,0.04368029739776952,0.054832713754646836
21,5,0,0.00520403694171387,0.013059701492537313,0.017723880597014924
21,5,1,0.0012835334996814717,0.07835820895522388,0.09608208955223882
21,5,2,0.0016959466411921793,0.05317164179104478,0.06343283582089553
21,5,3,0.0022772235479029523,0.016791044776119403,0.0251865671641791
21,5,4,0.0012369887460232762,0.051305970149253734,0.06902985074626865
42,1,0,0.0010133818408246805,0.017857142857142856,0.02443609022556391
42,1,1,0.00027731501770284086,0.05639097744360902,0.06578947368421052
42,1,2,0.0003359177944566512,0.023496240601503758,0.03195488721804511
42,1,3,0.0003756929998346228,0.02537593984962406,0.02913533834586466
42,1,4,0.00023246058089041856,0.03195488721804511,0.03759398496240601
42,5,0,0.005242714475400614,0.011278195488721804,0.015977443609022556
42,5,1,0.001321056312251267,0.08364661654135339,0.09680451127819548
42,5,2,0.0018233927141222891,0.041353383458646614,0.047932330827067667
42,5,3,0.002330785647449765,0.017857142857142856,0.022556390977443608
42,5,4,0.0012255538758163078,0.06109022556390977,0.08082706766917294
