L,H,window_id,model,regime,n_eval,RMSE,MAE,Directional_Accuracy
21,1,4,Random Walk,high_vol,139,0.015786504751578424,0.012197416516049109,0.0035971223021582736
21,1,4,Historical Mean,low_vol,130,0.015123029345135486,0.011577683992972689,0.5134615384615384
21,1,4,Historical Mean,high_vol,139,0.01609300798520542,0.012450910076406547,0.5089928057553957
21,1,4,AR Linear,low_vol,130,0.01487897754667751,0.011391521168041843,0.49038461538461536
21,1,4,AR Linear,high_vol,139,0.015967019208062108,0.012284850736346043,0.4910071942446043
21,1,4,ARIMA,low_vol,130,0.016283872971096992,0.012484366658429938,0.46153846153846156
21,1,4,ARIMA,high_vol,139,0.01860174175146553,0.013846214948813561,0.4982014388489209
21,1,4,ARCH,low_vol,130,0.014728300962834413,0.011245569083004224,0.5096153846153846
21,1,4,ARCH,high_vol,139,0.015880089721354223,0.01222514853380145,0.4784172661870504
21,1,4,GARCH,low_vol,130,0.015522570389782614,0.011678808025540718,0.5096153846153846
21,1,4,GARCH,high_vol,139,0.01725908938587801,0.013309538185568725,0.4784172661870504
21,1,4,VAR,low_vol,130,0.01477460998376354,0.011260612552447438,0.49615384615384617
21,1,4,VAR,high_vol,139,0.01593197012286103,0.012284028479600948,0.49460431654676257
21,1,4,Ridge,low_vol,130,0.01521426649800966,0.011584569782091984,0.5423076923076923
21,1,4,Ridge,high_vol,139,0.01648875358565582,0.012636673991898788,0.5305755395683454
21,1,4,MLP,low_vol,130,0.09465113791696193,0.07221660820364252,0.4807692307692308
21,1,4,MLP,high_vol,139,0.10499368587027856,0.07943857481345099,0.512589928057554
21,1,4,Random Forest,low_vol,130,0.014692580213267721,0.01127598863274808,0.5173076923076924
21,1,4,Random Forest,high_vol,139,0.015798978417937443,0.012118958762832864,0.5269784172661871
21,1,4,Diffusion,low_vol,130,0.014830039058845515,0.01147981346781387,0.47884615384615387
21,1,4,Diffusion,high_vol,139,0.01604811187083978,0.012457611580811571,0.44064748201438847
21,5,0,Random Walk,low_vol,56,0.039443514971490116,0.029389030032389168,0.0
21,5,0,Random Walk,high_vol,212,0.07793014035829254,0.051425406261501584,0.0
21,5,0,Historical Mean,low_vol,56,0.03955355328165664,0.029610004002745785,0.47767857142857145
21,5,0,Historical Mean,high_vol,212,0.07789904050921993,0.05166670663043454,0.5306603773584906
21,5,0,AR Linear,low_vol,56,0.039493441861945845,0.02940899123663626,0.48660714285714285
21,5,0,AR Linear,high_vol,212,0.07796989168163317,0.05144084678011049,0.5330188679245284
21,5,0,ARIMA,low_vol,56,0.039653024599422465,0.029600950149741904,0.45982142857142855
21,5,0,ARIMA,high_vol,212,0.07738113991252257,0.05138370160626551,0.5247641509433962
21,5,0,ARCH,low_vol,56,0.039365221336384974,0.029383317584208254,0.48214285714285715
21,5,0,ARCH,high_vol,212,0.07760800517794085,0.05137290006003757,0.5153301886792453
21,5,0,GARCH,low_vol,56,0.039346972433628044,0.029526328459093774,0.48214285714285715
21,5,0,GARCH,high_vol,212,0.07744426542793532,0.051699742047412504,0.5153301886792453
21,5,0,VAR,low_vol,56,0.039608865096564416,0.029504207936853634,0.4642857142857143
21,5,0,VAR,high_vol,212,0.07770960585777026,0.05145395960728348,0.5094339622641509
21,5,0,Ridge,low_vol,56,0.03982984914897586,0.030064257497354203,0.5044642857142857
21,5,0,Ridge,high_vol,212,0.08220288598835318,0.05473707298733589,0.5507075471698113
21,5,0,MLP,low_vol,56,0.18318849926182934,0.13944490254319655,0.48214285714285715
21,5,0,MLP,high_vol,212,0.44167443430177505,0.2961388787422248,0.5035377358490566
21,5,0,Random Forest,low_vol,56,0.03978740590638253,0.02974200600509459,0.49107142857142855
21,5,0,Random Forest,high_vol,212,0.07794793361368484,0.05085871584327406,0.5613207547169812
21,5,0,Diffusion,low_vol,56,0.04102339756925916,0.03064426855145219,0.42857142857142855
21,5,0,Diffusion,high_vol,212,0.07828919665469238,0.050857951259169754,0.5589622641509434
21,5,1,Random Walk,low_vol,82,0.03300473426483074,0.026151176863360145,0.0
21,5,1,Random Walk,high_vol,186,0.03880297712388904,0.02972029084088001,0.0
21,5,1,Historical Mean,low_vol,82,0.03347203086454828,0.026358919749683546,0.5121951219512195
21,5,1,Historical Mean,high_vol,186,0.0383185096269192,0.029320536431846518,0.5873655913978495
21,5,1,AR Linear,low_vol,82,0.033457772261346753,0.02639708250262646,0.5030487804878049
21,5,1,AR Linear,high_vol,186,0.03900830073156455,0.02988333357678164,0.5080645161290323
21,5,1,ARIMA,low_vol,82,0.03467876680864451,0.027611735404015722,0.5060975609756098
21,5,1,ARIMA,high_vol,186,0.040593737512187644,0.031096204861506632,0.5188172043010753
21,5,1,ARCH,low_vol,82,0.03287207092921788,0.02605814984485034,0.524390243902439
21,5,1,ARCH,high_vol,186,0.03881290727469871,0.029748063559863706,0.4798387096774194
21,5,1,GARCH,low_vol,82,0.03308769322767444,0.026319224362384548,0.524390243902439
21,5,1,GARCH,high_vol,186,0.03954732509098423,0.030212026806605143,0.4798387096774194
21,5,1,VAR,low_vol,82,0.03293868932465102,0.026177555759169094,0.4878048780487805
21,5,1,VAR,high_vol,186,0.038985412277739745,0.029892209434217356,0.4731182795698925
21,5,1,Ridge,low_vol,82,0.033919557870959266,0.026663978823507645,0.5609756097560976
21,5,1,Ridge,high_vol,186,0.03805462283551456,0.028590810786342447,0.603494623655914
21,5,1,MLP,low_vol,82,0.15981109349839823,0.12001513996199788,0.5213414634146342
21,5,1,MLP,high_vol,186,0.15206598368408508,0.11212245729472986,0.5161290322580645
21,5,1,Random Forest,low_vol,82,0.03326250441762505,0.026408458282534783,0.5182926829268293
21,5,1,Random Forest,high_vol,186,0.03919542086545587,0.030035196540755604,0.4771505376344086
21,5,1,Diffusion,low_vol,82,0.03236567817521375,0.02535709409784838,0.5792682926829268
21,5,1,Diffusion,high_vol,186,0.037367931098881035,0.028272276693772896,0.6263440860215054
21,5,2,Random Walk,low_vol,101,0.03470698586112085,0.027549536919602956,0.0
21,5,2,Random Walk,high_vol,167,0.044482793264868634,0.03450936048904181,0.0
21,5,2,Historical Mean,low_vol,101,0.03495051761524298,0.027699144812423693,0.49504950495049505
21,5,2,Historical Mean,high_vol,167,0.04505683559960684,0.03468483518401118,0.48952095808383234
21,5,2,AR Linear,low_vol,101,0.03465860452578676,0.02755113138201332,0.5198019801980198
21,5,2,AR Linear,high_vol,167,0.044397735319687326,0.03441079100424782,0.5224550898203593
21,5,2,ARIMA,low_vol,101,0.03620844281502585,0.02852403730098413,0.504950495049505
21,5,2,ARIMA,high_vol,167,0.04548658331774113,0.0353648956022871,0.5164670658682635
21,5,2,ARCH,low_vol,101,0.034664894146693936,0.027526489848471423,0.5198019801980198
21,5,2,ARCH,high_vol,167,0.044475502567924964,0.034568621076433104,0.4805389221556886
21,5,2,GARCH,low_vol,101,0.03515113915535101,0.027831694940018803,0.5198019801980198
21,5,2,GARCH,high_vol,167,0.045053669572687235,0.035195017583185814,0.4805389221556886
21,5,2,VAR,low_vol,101,0.034849660831911204,0.027733294681660567,0.46534653465346537
21,5,2,VAR,high_vol,167,0.04436902727280361,0.03452535245444607,0.5059880239520959
21,5,2,Ridge,low_vol,101,0.035267485982399524,0.0277604070995308,0.5198019801980198
21,5,2,Ridge,high_vol,167,0.046636693301509574,0.03583313404412809,0.49101796407185627
21,5,2,MLP,low_vol,101,0.15868681424916484,0.12707171053165855,0.5024752475247525
21,5,2,MLP,high_vol,167,0.17317875944120958,0.13739675119735567,0.5059880239520959
21,5,2,Random Forest,low_vol,101,0.03516579159770666,0.028061446959948534,0.43316831683168316
21,5,2,Random Forest,high_vol,167,0.04534967273645373,0.035263933808067624,0.45209580838323354
21,5,2,Diffusion,low_vol,101,0.03428203397144089,0.026763906288334353,0.5915841584158416
21,5,2,Diffusion,high_vol,167,0.04485145447532515,0.034517767892092835,0.5583832335329342
21,5,3,Random Walk,low_vol,32,0.041411279116691076,0.032998726218027546,0.0
21,5,3,Random Walk,high_vol,236,0.04687057774281252,0.037416796150458946,0.0
21,5,3,Historical Mean,low_vol,32,0.041542462058387644,0.03318285098254278,0.5078125
21,5,3,Historical Mean,high_vol,236,0.047619513388974875,0.03781836625262477,0.4576271186440678
21,5,3,AR Linear,low_vol,32,0.04069124638008758,0.03242867279693039,0.578125
21,5,3,AR Linear,high_vol,236,0.046937269674268506,0.037515978378127555,0.4989406779661017
21,5,3,ARIMA,low_vol,32,0.04206069954833156,0.03278825788999578,0.5078125
21,5,3,ARIMA,high_vol,236,0.048025500753172114,0.03834175217107125,0.4957627118644068
21,5,3,ARCH,low_vol,32,0.041534512273347764,0.033118248045201915,0.5078125
21,5,3,ARCH,high_vol,236,0.04680749783054428,0.03747009572517729,0.4766949152542373
21,5,3,GARCH,low_vol,32,0.04236831319216614,0.03368959449975405,0.5078125
21,5,3,GARCH,high_vol,236,0.04733101922594871,0.03796443796238358,0.4766949152542373
21,5,3,VAR,low_vol,32,0.04147887478406801,0.033092505844012535,0.53125
21,5,3,VAR,high_vol,236,0.0467002168505876,0.03737420462074875,0.5084745762711864
21,5,3,Ridge,low_vol,32,0.041425278488203876,0.03254884520449221,0.5390625
21,5,3,Ridge,high_vol,236,0.05008783779334492,0.04010209814081297,0.4417372881355932
21,5,3,MLP,low_vol,32,0.10714891361039305,0.08390186166604496,0.5390625
21,5,3,MLP,high_vol,236,0.13809667829142777,0.10761972644380043,0.5074152542372882
21,5,3,Random Forest,low_vol,32,0.04150399265601923,0.03308653114662557,0.484375
21,5,3,Random Forest,high_vol,236,0.04723393078014723,0.03779967640129373,0.4830508474576271
21,5,3,Diffusion,low_vol,32,0.043027816261478925,0.03413188541728872,0.4296875
21,5,3,Diffusion,high_vol,236,0.04831190418816393,0.03854168825783014,0.4682203389830508
21,5,4,Random Walk,low_vol,126,0.033428120557395476,0.027091275728158774,0.0
21,5,4,Random Walk,high_vol,142,0.03679606240168555,0.028969216382265423,0.0
21,5,4,Historical Mean,low_vol,126,0.033684303994933745,0.027290923733423553,0.5218253968253969
21,5,4,Historical Mean,high_vol,142,0.037081807923104566,0.02900824597174257,0.5105633802816901
21,5,4,AR Linear,low_vol,126,0.0335498423156992,0.027150906921617257,0.4781746031746032
21,5,4,AR Linear,high_vol,142,0.036872758350767317,0.029031416889082184,0.48063380281690143
21,5,4,ARIMA,low_vol,126,0.03443805181895698,0.0276795385130831,0.501984126984127
21,5,4,ARIMA,high_vol,142,0.03833014903558765,0.029813978791533004,0.5035211267605634
21,5,4,ARCH,low_vol,126,0.03344347280985116,0.027133811881650524,0.501984126984127
21,5,4,ARCH,high_vol,142,0.03673959734803264,0.029049741052489066,0.47007042253521125
21,5,4,GARCH,low_vol,126,0.03387246471293592,0.027496844349128115,0.501984126984127
21,5,4,GARCH,high_vol,142,0.03707602115458005,0.029525002547415677,0.47007042253521125
21,5,4,VAR,low_vol,126,0.033486549934274766,0.02710379487767743,0.5178571428571429
21,5,4,VAR,high_vol,142,0.036681975890028806,0.029055859712442202,0.49119718309859156
21,5,4,Ridge,low_vol,126,0.0357648577449996,0.02852867051813088,0.5099206349206349
21,5,4,Ridge,high_vol,142,0.03808360987620524,0.030474146037324793,0.5140845070422535
21,5,4,MLP,low_vol,126,0.11338989197593287,0.08174106557760435,0.5158730158730159
21,5,4,MLP,high_vol,142,0.13050907828871783,0.09963233106285137,0.4735915492957746
21,5,4,Random Forest,low_vol,126,0.033522012331060884,0.027227333642788912,0.4880952380952381
21,5,4,Random Forest,high_vol,142,0.03712803196532104,0.029414840150035617,0.4630281690140845
21,5,4,Diffusion,low_vol,126,0.033756780842433595,0.027483545970757427,0.5119047619047619
21,5,4,Diffusion,high_vol,142,0.03637310630230185,0.02863060108705693,0.5721830985915493
42,1,0,Random Walk,low_vol,35,0.01721148116922436,0.013274089579240691,0.02857142857142857
42,1,0,Random Walk,high_vol,231,0.03332818878329122,0.021352075144895226,0.003246753246753247
42,1,0,Historical Mean,low_vol,35,0.01722793895412533,0.013268316879399996,0.5142857142857142
42,1,0,Historical Mean,high_vol,231,0.033625878843429075,0.02177380718514422,0.5140692640692641
42,1,0,AR Linear,low_vol,35,0.017210398664240803,0.013270470469732294,0.5071428571428571
42,1,0,AR Linear,high_vol,231,0.033587239007551645,0.021669241881096552,0.49783549783549785
42,1,0,ARIMA,low_vol,35,0.017606719046031595,0.01351931386932965,0.42142857142857143
42,1,0,ARIMA,high_vol,231,0.03435186203021123,0.02205296221599856,0.49783549783549785
42,1,0,ARCH,low_vol,35,0.017134418375223413,0.013205174538804256,0.4928571428571429
42,1,0,ARCH,high_vol,231,0.03331660947453957,0.021467398034284334,0.512987012987013
42,1,0,GARCH,low_vol,35,0.017677745762712437,0.013480831744950069,0.4928571428571429
42,1,0,GARCH,high_vol,231,0.03494310626898387,0.02279144288444277,0.512987012987013
42,1,0,VAR,low_vol,35,0.017038886744840047,0.013061827009317713,0.5571428571428572
42,1,0,VAR,high_vol,231,0.03337532043862981,0.021506271945913955,0.5097402597402597
42,1,0,Ridge,low_vol,35,0.016890335082284266,0.013057239514335553,0.5571428571428572
42,1,0,Ridge,high_vol,231,0.0356229717356913,0.023266201786653878,0.5324675324675324
42,1,0,MLP,low_vol,35,0.2433263826600672,0.1928283266142911,0.4928571428571429
42,1,0,MLP,high_vol,231,0.6616063366318399,0.481919820655499,0.47835497835497837
42,1,0,Random Forest,low_vol,35,0.017237516212637922,0.013255650772261193,0.55
42,1,0,Random Forest,high_vol,231,0.03360500393258781,0.02138398386054369,0.5151515151515151
42,1,0,Diffusion,low_vol,35,0.01760988053547606,0.013625632151217452,0.4357142857142857
42,1,0,Diffusion,high_vol,231,0.033466172629970266,0.02136628494177348,0.5173160173160173
42,1,1,Random Walk,low_vol,66,0.017564737412170003,0.012722503073159253,0.003787878787878788
42,1,1,Random Walk,high_vol,200,0.016244830310360326,0.012270884852246255,0.00875
42,1,1,Historical Mean,low_vol,66,0.017633202810859474,0.012680405140439239,0.5189393939393939
42,1,1,Historical Mean,high_vol,200,0.01643284887369587,0.012426907228221406,0.5225
42,1,1,AR Linear,low_vol,66,0.017412764558527475,0.01247964088263034,0.5643939393939394
42,1,1,AR Linear,high_vol,200,0.01626582303304006,0.012231610193776908,0.5425
42,1,1,ARIMA,low_vol,66,0.020540246760904376,0.015002275461732845,0.5037878787878788
42,1,1,ARIMA,high_vol,200,0.02014681720336856,0.015124310961090777,0.4925
42,1,1,ARCH,low_vol,66,0.017360091930209737,0.012466420953650255,0.5265151515151515
42,1,1,ARCH,high_vol,200,0.016205685433682254,0.012219005243271495,0.51
42,1,1,GARCH,low_vol,66,0.017988524337456943,0.013262077090773974,0.5265151515151515
42,1,1,GARCH,high_vol,200,0.017633056389879543,0.013265809900906152,0.51
42,1,1,VAR,low_vol,66,0.017454025403404204,0.012609798581157771,0.5151515151515151
42,1,1,VAR,high_vol,200,0.016245128512348436,0.012224887014886037,0.525
42,1,1,Ridge,low_vol,66,0.02013187133565223,0.015042652878074964,0.4659090909090909
42,1,1,Ridge,high_vol,200,0.017156067140266452,0.013063851456239577,0.53875
42,1,1,MLP,low_vol,66,0.25438953611653803,0.1914058608516218,0.5227272727272727
42,1,1,MLP,high_vol,200,0.2498055564629442,0.19483232937858538,0.4925
42,1,1,Random Forest,low_vol,66,0.017629082202480884,0.01275056848374373,0.49242424242424243
42,1,1,Random Forest,high_vol,200,0.01638832931062909,0.01235052209887574,0.5125
42,1,1,Diffusion,low_vol,66,0.01748204331722477,0.012708014405031158,0.5189393939393939
42,1,1,Diffusion,high_vol,200,0.01636882336568742,0.012406884811253644,0.4525
42,1,2,Random Walk,low_vol,78,0.017101487233460368,0.01212825724962329,0.009615384615384616
42,1,2,Random Walk,high_vol,188,0.018208231905153104,0.013684278731330133,0.007978723404255319
42,1,2,Historical Mean,low_vol,78,0.01728463244666405,0.01227598301748191,0.483974358974359
42,1,2,Historical Mean,high_vol,188,0.018352326337113128,0.013821691664733739,0.49601063829787234
42,1,2,AR Linear,low_vol,78,0.01701603002799353,0.011927273872852064,0.532051282051282
42,1,2,AR Linear,high_vol,188,0.018344116226802626,0.013909151568392737,0.5026595744680851
42,1,2,ARIMA,low_vol,78,0.01958283691688665,0.014182136281189158,0.4967948717948718
42,1,2,ARIMA,high_vol,188,0.020742304738354055,0.015948950942191918,0.4720744680851064
42,1,2,ARCH,low_vol,78,0.016975457163629446,0.011951271314559104,0.5416666666666666
42,1,2,ARCH,high_vol,188,0.01832702034160616,0.013801005472808317,0.48936170212765956
42,1,2,GARCH,low_vol,78,0.017732830154174043,0.012567417788802855,0.5416666666666666
42,1,2,GARCH,high_vol,188,0.020121598862462717,0.015191396709917667,0.48936170212765956
42,1,2,VAR,low_vol,78,0.017121846652842256,0.01211117605145738,0.5512820512820513
42,1,2,VAR,high_vol,188,0.018355121914589236,0.013823392368416823,0.5066489361702128
42,1,2,Ridge,low_vol,78,0.019308198515751576,0.014278494246463958,0.4583333333333333
42,1,2,Ridge,high_vol,188,0.018803785544526403,0.014225600534438915,0.5146276595744681
42,1,2,MLP,low_vol,78,0.2325874847177384,0.18367628257516477,0.4583333333333333
42,1,2,MLP,high_vol,188,0.2767627347029737,0.21346864940757088,0.46808510638297873
42,1,2,Random Forest,low_vol,78,0.017219228230261726,0.012188102076936425,0.4519230769230769
42,1,2,Random Forest,high_vol,188,0.01834147297178627,0.013812238260662833,0.46808510638297873
42,1,2,Diffusion,low_vol,78,0.017299902000609754,0.01234277526178748,0.48717948717948717
42,1,2,Diffusion,high_vol,188,0.01874030341049234,0.014195405625621856,0.488031914893617
42,1,3,Random Walk,high_vol,266,0.019229357138784868,0.014661752025743977,0.0037593984962406013
42,1,3,Historical Mean,high_vol,266,0.019530440241567585,0.014907827556557725,0.4849624060150376
42,1,3,AR Linear,high_vol,266,0.019484749126053996,0.014940489883837782,0.49624060150375937
42,1,3,ARIMA,high_vol,266,0.021079034500051008,0.01651492836523439,0.4924812030075188
42,1,3,ARCH,high_vol,266,0.0193632894773386,0.014804799725085645,0.5018796992481203
42,1,3,GARCH,high_vol,266,0.02127261804457424,0.01613029334376903,0.5018796992481203
42,1,3,VAR,high_vol,266,0.01939756749601966,0.014860865407987818,0.48966165413533835
42,1,3,Ridge,high_vol,266,0.020246038377267853,0.015621469604812838,0.4783834586466165
42,1,3,MLP,high_vol,266,0.1816869863286289,0.13975119423197319,0.4849624060150376
42,1,3,Random Forest,high_vol,266,0.019181765258450376,0.014612825784991932,0.5140977443609023
42,1,3,Diffusion,high_vol,266,0.01937732332760602,0.01484650695874513,0.4718045112781955
42,1,4,Random Walk,low_vol,122,0.014447562107845624,0.011253582681265067,0.012295081967213115
42,1,4,Random Walk,high_vol,144,0.01591430138934953,0.01214436491976939,0.003472222222222222
42,1,4,Historical Mean,low_vol,122,0.014715654297241941,0.011501104911895283,0.48770491803278687
42,1,4,Historical Mean,high_vol,144,0.016068579345278035,0.012157965937433396,0.5104166666666666
42,1,4,AR Linear,low_vol,122,0.014648094254630373,0.01142892399393516,0.4713114754098361
42,1,4,AR Linear,high_vol,144,0.01606685493967753,0.012191160251585243,0.5086805555555556
42,1,4,ARIMA,low_vol,122,0.0159269153027125,0.012362122199106318,0.45286885245901637
42,1,4,ARIMA,high_vol,144,0.018732929562388503,0.013819159747545221,0.515625
42,1,4,ARCH,low_vol,122,0.014472256491016236,0.011270239379742811,0.5
42,1,4,ARCH,high_vol,144,0.015984654234726142,0.012129069994132751,0.4878472222222222
42,1,4,GARCH,low_vol,122,0.015448213280493093,0.011923768596535381,0.5
42,1,4,GARCH,high_vol,144,0.017233542532265594,0.013028070134518635,0.4878472222222222
42,1,4,VAR,low_vol,122,0.014505063035242578,0.011293313026910291,0.48975409836065575
42,1,4,VAR,high_vol,144,0.016070155316877704,0.012193248121003279,0.4982638888888889
42,1,4,Ridge,low_vol,122,0.015687209960122475,0.012178245032334493,0.5163934426229508
42,1,4,Ridge,high_vol,144,0.017133017726437015,0.012961545079933051,0.5034722222222222
42,1,4,MLP,low_vol,122,0.223354345615645,0.1628258136188838,0.4979508196721312
42,1,4,MLP,high_vol,144,0.21849655836271578,0.16820606201580407,0.5277777777777778
42,1,4,Random Forest,low_vol,122,0.014457005849281392,0.011246744172461156,0.48770491803278687
42,1,4,Random Forest,high_vol,144,0.015849550517585284,0.012014200626509434,0.5295138888888888
42,1,4,Diffusion,low_vol,122,0.014440340406822844,0.011377752669788932,0.4672131147540984
42,1,4,Diffusion,high_vol,144,0.015885796177530786,0.012110000654061103,0.5017361111111112
42,5,0,Random Walk,low_vol,34,0.04393306245795824,0.03323132893435988,0.0
42,5,0,Random Walk,high_vol,232,0.07530792333002467,0.049552128935037354,0.0
42,5,0,Historical Mean,low_vol,34,0.043669295852701705,0.03309552723060195,0.5147058823529411
42,5,0,Historical Mean,high_vol,232,0.07506977675507397,0.04943794138455326,0.5495689655172413
42,5,0,AR Linear,low_vol,34,0.044351025558859294,0.033573387052545194,0.5
42,5,0,AR Linear,high_vol,232,0.07535095885874003,0.049495036487544115,0.5301724137931034
42,5,0,ARIMA,low_vol,34,0.043780596650088925,0.03317591361354656,0.5441176470588235
42,5,0,ARIMA,high_vol,232,0.07483250783852122,0.0496079156236117,0.48060344827586204
42,5,0,ARCH,low_vol,34,0.043714262389267435,0.03307359136299637,0.5073529411764706
42,5,0,ARCH,high_vol,232,0.07500575627862506,0.049505021647373484,0.5140086206896551
42,5,0,GARCH,low_vol,34,0.04337398368189798,0.03276333038889112,0.5073529411764706
42,5,0,GARCH,high_vol,232,0.0748570099452323,0.049821867831334896,0.5140086206896551
42,5,0,VAR,low_vol,34,0.043779734908227605,0.033042469388654544,0.4852941176470588
42,5,0,VAR,high_vol,232,0.0751257368532064,0.049608505657680775,0.5129310344827587
42,5,0,Ridge,low_vol,34,0.04336545947354181,0.03345728642406637,0.5
42,5,0,Ridge,high_vol,232,0.08262357102338276,0.054763566511471795,0.5689655172413793
42,5,0,MLP,low_vol,34,0.30239510349776805,0.2443638026984198,0.5294117647058824
42,5,0,MLP,high_vol,232,0.6414839326800749,0.45181692584375976,0.4795258620689655
42,5,0,Random Forest,low_vol,34,0.04371923326578796,0.03316679036737019,0.5367647058823529
42,5,0,Random Forest,high_vol,232,0.07553400785815687,0.04926970291526168,0.5732758620689655
42,5,0,Diffusion,low_vol,34,0.042231994402412695,0.031724585859909366,0.6176470588235294
42,5,0,Diffusion,high_vol,232,0.07583907251991531,0.048975741445992926,0.5754310344827587
42,5,1,Random Walk,low_vol,67,0.03615279644517233,0.027818327248738894,0.0
42,5,1,Random Walk,high_vol,199,0.03758885047987023,0.028927050827014328,0.0
42,5,1,Historical Mean,low_vol,67,0.03589039012017064,0.02766755095432235,0.5
42,5,1,Historical Mean,high_vol,199,0.03753995714912589,0.028754423546189643,0.5389447236180904
42,5,1,AR Linear,low_vol,67,0.03627066647743986,0.027910202951322877,0.5223880597014925
42,5,1,AR Linear,high_vol,199,0.037906325387328146,0.029154378925460498,0.48743718592964824
42,5,1,ARIMA,low_vol,67,0.03855897784831427,0.030090761367351962,0.41044776119402987
42,5,1,ARIMA,high_vol,199,0.038860375359768995,0.029887557832892778,0.5125628140703518
42,5,1,ARCH,low_vol,67,0.03603828588382469,0.027684305614685135,0.5708955223880597
42,5,1,ARCH,high_vol,199,0.03759788288895271,0.028978539325297738,0.46733668341708545
42,5,1,GARCH,low_vol,67,0.0362982846730879,0.027847346942417178,0.5708955223880597
42,5,1,GARCH,high_vol,199,0.038312041992445825,0.02949556648768543,0.46733668341708545
42,5,1,VAR,low_vol,67,0.03609003516411202,0.027743836976116574,0.5111940298507462
42,5,1,VAR,high_vol,199,0.03781553145680343,0.02918428037690201,0.45603015075376885
42,5,1,Ridge,low_vol,67,0.03907308572796933,0.029817996863059706,0.5
42,5,1,Ridge,high_vol,199,0.03805105601915439,0.028963013731737226,0.5577889447236181
42,5,1,MLP,low_vol,67,0.27778596777882725,0.2192381001316789,0.5
42,5,1,MLP,high_vol,199,0.23270197894414132,0.17924960070160484,0.5188442211055276
42,5,1,Random Forest,low_vol,67,0.036372071923309074,0.02820752341548899,0.503731343283582
42,5,1,Random Forest,high_vol,199,0.038063831326228016,0.02948131315025545,0.4748743718592965
42,5,1,Diffusion,low_vol,67,0.037485879411202946,0.02853529971472769,0.45149253731343286
42,5,1,Diffusion,high_vol,199,0.03612423492499484,0.027498381566892296,0.6319095477386935
42,5,2,Random Walk,low_vol,79,0.03415096278293257,0.027472301697621663,0.0
42,5,2,Random Walk,high_vol,187,0.04402759636855317,0.033970635216888645,0.0
42,5,2,Historical Mean,low_vol,79,0.03410687971677945,0.027434087064289375,0.46835443037974683
42,5,2,Historical Mean,high_vol,187,0.044069083005472236,0.03401144540068185,0.4879679144385027
42,5,2,AR Linear,low_vol,79,0.03444553337273126,0.027491885686231853,0.4873417721518987
42,5,2,AR Linear,high_vol,187,0.04388258825813082,0.03392222194390049,0.5227272727272727
42,5,2,ARIMA,low_vol,79,0.03585929010790579,0.02867893955815759,0.4873417721518987
42,5,2,ARIMA,high_vol,187,0.04496107421129661,0.03472825407710594,0.5013368983957219
42,5,2,ARCH,low_vol,79,0.03399069587682169,0.027343942358368623,0.5506329113924051
42,5,2,ARCH,high_vol,187,0.04405986050223121,0.03407515560329477,0.4799465240641711
42,5,2,GARCH,low_vol,79,0.03408308352695797,0.027340708674079825,0.5506329113924051
42,5,2,GARCH,high_vol,187,0.04478269984347662,0.034848654210507424,0.4799465240641711
42,5,2,VAR,low_vol,79,0.034094541159768364,0.02745662907300477,0.4936708860759494
42,5,2,VAR,high_vol,187,0.044014008052686786,0.034101956297166156,0.48128342245989303
42,5,2,Ridge,low_vol,79,0.03703508386447645,0.0289451224809405,0.5348101265822784
42,5,2,Ridge,high_vol,187,0.047804251546392174,0.036782938936349575,0.446524064171123
42,5,2,MLP,low_vol,79,0.2528351901415905,0.2010421401085975,0.5158227848101266
42,5,2,MLP,high_vol,187,0.25802509597852114,0.20082093094045392,0.4919786096256685
42,5,2,Random Forest,low_vol,79,0.03437226505853672,0.02760737103226873,0.5
42,5,2,Random Forest,high_vol,187,0.04498740161568184,0.034843929711755976,0.42379679144385024
42,5,2,Diffusion,low_vol,79,0.034978950206538593,0.027225124974964123,0.5474683544303798
42,5,2,Diffusion,high_vol,187,0.04550539435349705,0.035093922663398495,0.5213903743315508
42,5,3,Random Walk,high_vol,266,0.04635564230763784,0.036961427595140754,0.0
42,5,3,Historical Mean,high_vol,266,0.04675474497237648,0.03727309620232516,0.45300751879699247
42,5,3,AR Linear,high_vol,266,0.046341439163408216,0.03697387923057366,0.5093984962406015
42,5,3,ARIMA,high_vol,266,0.047320478491273375,0.03765721441548612,0.5056390977443609
42,5,3,ARCH,high_vol,266,0.04631248941420165,0.03702467933604351,0.48214285714285715
42,5,3,GARCH,high_vol,266,0.04686666483054212,0.037535694680957944,0.48214285714285715
42,5,3,VAR,high_vol,266,0.04620936086845845,0.03693512774442202,0.5084586466165414
42,5,3,Ridge,high_vol,266,0.04990764415339424,0.03976618951735192,0.4605263157894737
42,5,3,MLP,high_vol,266,0.19353525709248495,0.15192153825291055,0.49718045112781956
42,5,3,Random Forest,high_vol,266,0.04710023619649291,0.037839386920534214,0.44642857142857145
42,5,3,Diffusion,high_vol,266,0.04825953547619092,0.038444083257662034,0.45300751879699247
42,5,4,Random Walk,low_vol,118,0.03391399128371983,0.027311520887333803,0.0
42,5,4,Random Walk,high_vol,148,0.036404821972796986,0.028788675942341344,0.0
42,5,4,Historical Mean,low_vol,118,0.033883295878151656,0.027298050027841095,0.5233050847457628
42,5,4,Historical Mean,high_vol,148,0.03676886537805033,0.02894644672665673,0.48986486486486486
42,5,4,AR Linear,low_vol,118,0.03424647702860381,0.027569273771285468,0.4724576271186441
