L,H,seed_a,seed_b,spearman_rho
21,1,0,1,0.19999999999999998
21,1,0,2,0.39999999999999997
21,1,1,2,-0.7999999999999999
21,5,0,1,0.39999999999999997
21,5,0,2,0.19999999999999998
21,5,1,2,0.7999999999999999
