L,H,AR Linear,ARIMA,Diffusion,Historical Mean,MLP,Random Forest,Random Walk,Ridge,VAR
10,1,0.020160118496603766,0.02233475565447579,0.02035714871291894,0.020931536544451602,0.11454582649640603,0.02012279264877791,0.02002585241276756,0.020449810125561314,0.020095488657631333
10,5,0.04629751286050669,0.04716698831814641,0.04656776424845958,0.04628963905135301,0.1162026018970663,0.046409364274411405,0.046225513522868814,0.046579546267797006,0.04617051298034452
21,1,0.020198297502800035,0.022315404623081292,0.020599786167991196,0.020546494204345362,0.18237525300707355,0.020178904285627495,0.020058252176159867,0.02058167204867602,0.020132683471147744
21,5,0.04632822346062862,0.047236917490599786,0.04675435419056154,0.04650112894242591,0.19630586404043515,0.046604519192580206,0.046264322315700865,0.047399605327877035,0.04621051888789376
42,1,0.020271185503552922,0.022375656906766062,0.020508284216604816,0.020346086113645155,0.30815619226736934,0.020213438570196793,0.02012818224248575,0.02095579519579243,0.02020711690362897
42,5,0.0465332298578171,0.047311367354038805,0.047419877550142445,0.04651819654549478,0.2981039314513215,0.046949666667896746,0.04646280236599686,0.0489147266943888,0.04641614350138466
