L,H,feature_set,rmse_mean,mae_mean,rmse_std
21,1,returns_only,0.023387420969115075,0.01587115447649975,8.939614498097364e-06
21,1,full,0.023780383759986198,0.01624441463150638,0.0002740696603558489
21,1,no_illiquidity,0.02414660017751415,0.01670414405186612,0.0008282506209113834
21,5,full,0.05368070771361966,0.03765248959610728,0.0002370994153263448
21,5,no_illiquidity,0.05397963545135734,0.037665640457180995,0.0005715057164041384
21,5,returns_only,0.054089405128828906,0.03771542239989037,0.0010949963486235727
