Date,ECH,EWW,EWZ,GXG
2015-01-02,0.0,0.0,0.0,0.0
2015-01-05,-0.018179684435987428,-0.029989369713782427,-0.034818605178940636,-0.06736822277287281
2015-01-06,-0.002846190751741465,0.009391735106886408,0.017704528323071324,-0.010975230095466837
2015-01-07,0.004911152338100697,0.02353049948413056,0.02668343336548044,0.014328072980241179
2015-01-08,0.006682116819318014,0.015215241884270961,0.015840338739256866,0.012474365023203988
2015-01-09,-0.00513627461875989,0.004570555154565359,-0.002760959948966543,0.0008259643609323311
2015-01-12,-0.0007725539421925075,-0.014459925469865917,-0.023780804554596288,-0.011628114123902909
2015-01-13,-0.008019628022460932,-0.0044651188509192506,0.010981549851004576,-0.011764723537577204
2015-01-14,-0.01465241632625965,-0.0012052265089973083,0.010030923488811435,-0.0033870415641257673
2015-01-15,-0.01113187694872062,-0.009697280024949852,-0.015084371597322947,-0.004249702339355763
2015-01-16,0.003458868398840888,0.012106542997412859,0.03294437449583581,0.016054365485510966
2015-01-20,0.0042408347379648955,0.0030898618549899393,-0.016752095696912425,0.0033471019555479115
2015-01-21,0.01990110378181566,0.009041916087353188,0.0326919968367098,0.008319515218629546
2015-01-22,0.026354501334621597,0.023167065837066292,0.01595340817197622,0.019689105224523624
2015-01-23,-0.010918407131984026,-0.0093363182988366,-0.029717166953307467,-0.0008127278865111536
2015-01-26,-0.0007659071298166326,0.0038449131537542243,-0.007363920891596147,0.003247018510461659
2015-01-27,0.002296708730748444,-0.004515437038138708,0.011973069406231412,0.005656304202754351
2015-01-28,-0.007162783818058266,-0.018438935601227776,-0.02742167459268859,-0.0024203565063827277
2015-01-29,-0.0036009976066915077,-0.009952155913073017,0.0008333777691441328,-0.027017500606510206
2015-01-30,-0.0182011964024642,-0.03046436911014581,-0.048081838073664285,-0.01252645140551909
2015-02-02,0.021288383524871602,0.013946677168056252,0.011590720358492854,0.028987787355926557
2015-02-03,0.017821280347532664,0.015137045403518143,0.02784296249596703,0.04703923844296106
2015-02-04,-0.004045546520284321,-0.006931267653896417,-0.013256362978492892,-0.028438103146284317
2015-02-05,0.013588406010400131,0.01792239606261816,0.007918373729211323,0.015109887192309587
2015-02-06,-0.007778095665985434,-0.0008541343696032683,-0.030894936936714502,-0.01031360412117612
2015-02-09,0.004523781429932435,0.004604680745656304,0.012702586288752546,-0.0023951733367806494
2015-02-10,-0.003265139891562468,-0.011810152152314334,-0.029696590750941488,-0.027554361847778857
2015-02-11,-0.007829708822091918,-0.025105925557873388,-0.019696331285380116,-0.03427020626875514
2015-02-12,0.0270154991526584,0.03708598870949478,0.038432024248824394,0.015190321025880528
2015-02-13,0.012264153278869542,0.0054294937490192196,0.016396246212817395,0.020721769213480516
2015-02-17,-0.007831781676695578,0.0015216845507669272,0.00908856283789624,-0.008237214317851604
2015-02-18,0.005146586399102861,-0.0015216845507670443,0.0005652091934211394,-0.013657883445237932
2015-02-19,0.0014652863498712287,-0.006109913608161822,-0.011652907335737196,-0.007237279294470156
2015-02-20,0.006811151934883667,0.005263474607772698,-0.0034362131209004026,-0.014462156479299694
2015-02-23,-0.005347815255708253,-0.0018644513732737988,-0.0031605751181089784,-0.0199054190172969
2015-02-24,-0.0017072506744037828,0.01431830625875204,0.02893006510176159,0.006100209433007081
2015-02-25,0.001951007593184341,-0.0026795639070041123,-0.017769669936978604,0.0017362186922375387
2015-02-26,-0.002928038047556968,0.00651895391653522,-0.006280660130682225,-0.00871065223611459
2015-02-27,0.009485957319657588,0.0031605563633062745,0.013087488564241107,0.0
2015-03-02,-0.010463878307856942,-0.011525725029600418,-0.02518746678504566,-0.02569945578833006
2015-03-03,0.0031747043016925824,-0.006912674890655993,-0.007856877743149946,-0.01355653431775561
2015-03-04,-0.0014641805036252637,-0.012940443559097308,-0.028746991105358454,0.0018180839005854934
2015-03-05,-0.010555902711415382,-0.006188951773102666,-0.01392702528740785,-0.00637812557516104
2015-03-06,-0.013416356572887972,-0.023908278765616357,-0.026882566809268916,-0.03629973145003599
2015-03-09,-0.011319412309773017,-0.0005301673608361056,-0.03700568688688561,-0.025925714401319893
2015-03-10,-0.019671040452404715,-0.014954705699070541,-0.010125766327304463,-0.022627576976937624
2015-03-11,-0.004395294424407333,0.013009305339686984,0.004912230513901989,0.001987887740674308
2015-03-12,0.008514794095176657,0.01772448718318794,-0.008200903891341565,0.009881503631831904
2015-03-13,-0.021294119626413918,-0.003834299468606648,-0.0351972712139947,-0.00492831726470458
2015-03-16,0.004190851120235448,0.008692656504062679,0.007139660022375796,-0.008933075513424702
2015-03-17,0.0,-0.005206450812108109,0.03134628456905852,0.015826075514536284
